Spanish,English,Spanish_NEU,Spanish_NEG,Spanish_POS,English_NEU,English_NEG,English_POS
"Son largas y aparte esta esta mención es. Para darle realce a nuestra gira, Claro, Claro, teníamos aquí a alguien sentado, no le íbamos a dar el. Lugar, pues no, porque no le íbamos a dar el lugar. En toda la persona, pero. Estamos también súper contentos porque a lo largo de este poquito tiempo que tenemos con el podcast del momento, pues han pasado cosas irreales.","They are long and apart from this this mention is. To highlight our tour, Of ​​course, Of course, we had someone sitting here, we weren't going to give him the. Place, well no, because we were not going to give him the place. In the whole person, but. We are also super happy because throughout this little time that we have with the podcast of the moment, unreal things have happened.",0.3101646304130554,0.5116244554519653,0.17821092903614044,0.008326233364641666,0.11617867648601532,0.8754950761795044
"Y han pasado personas muy importantes por estas. No y las que se vienen o sea usted a lo mejor ahorita dijo, Ah, pues nos están diciendo que se termina, se termina esta temporada este porque no le dimos como un cierre porque usted vio que se cambió la escenografía. Ajá. ¿Y usted no lo vio, pero no le no habíamos tenido el tiempo de dar como un cierre formal?","And very important people have passed through these. No, and the ones that are coming, or maybe right now you said, Oh, well, they are telling us that it is ending, this season is ending because we didn't give it a closure because you saw that the scenery was changed. AHA. And you didn't see it, but hadn't we had the time to give it as a formal closure?",0.8085458874702454,0.18522532284259796,0.006228806916624308,0.27152717113494873,0.71616131067276,0.012311570346355438
"Ciclo formal y a partir de aquí el podcast del momento viene con un giro. Viene con pura celebridad, celebridad internacional, no ha pasado ninguna de las que ya grabamos. No, no ha pasado el. Lunes este domingo esto ya es el domingo, no, hombre, no van a soportar si de por sí no nos pueden ver.","Formal cycle and from here the podcast of the moment comes with a twist. It comes with pure celebrity, international celebrity, none of the ones we already recorded have happened. No, it hasn't happened. Monday this Sunday this is already Sunday, no, man, they won't stand it if they can't see us.",0.5870001912117004,0.4021971821784973,0.010802692733705044,0.31218066811561584,0.6469115614891052,0.040907807648181915
"Pero hay que aclarar que obviamente seguiremos con nuestro marketing, que son muchas figuras regias, tenemos ya ya tenemos pactados a varios que ustedes van a disfrutar en un futuro y conocerán un poquito más de la cultura regiomontana. Y también nos gustaría que en este momento y en este video.","But it must be clarified that obviously we will continue with our marketing, which are many royal figures, we have already agreed to several that you will enjoy in the future and will know a little more about the Monterrey culture. And we would also like that at this moment and in this video.",0.004094129893928766,0.10581550747156143,0.89009028673172,0.0011119091650471091,0.08205760270357132,0.9168305397033691
"Si se aceptan comentarios de artistas que quieran que tengamos en el podcast del momento. Y también comentarios que ustedes, o sea la verdad, ha pasado mucho de esto. Mira, a lo largo de todo esto hemos ido aprendiendo a ser entrevistadoras que hay que aclarar algo. La neta es que cuando surgió el podcast del momento, nosotras nunca quisimos que fuéramos entrevistadoras nos gusta.","Yes, comments are accepted from artists who want us to have them on the podcast of the moment. And also comments that you, that is to say the truth, have been through a lot of this. Look, throughout all this we have been learning to be interviewers that we have to clarify something. The bottom line is that when the podcast of the moment emerged, we never wanted us to be interviewers, we like it.",0.05610920488834381,0.4821019768714905,0.4617888331413269,0.012552894651889801,0.6338532567024231,0.3535938262939453
"¿De hecho una de las reglas, cuando llega aquí nuestro invitado es, oye, Sabes qué? Aquí no hay línea. Y otra de las reglas es no pegarle a la mesa. ¿Verdad? Verdad, pareces nueva. Es que usted escucha un resorte en su interior, es porque esta niña está traca.","In fact one of the rules, when our guest comes here is, hey, you know what? There is no line here. And another rule is not to hit the table. TRUE? True, you look new. You hear a spring inside you, it's because this girl is crazy.",0.5452015995979309,0.4313732087612152,0.023425213992595673,0.02626488357782364,0.6957203149795532,0.27801480889320374
"Traca traca y eso ya no se debe de hacer. Yo no te digo nada, que tú estás así. Si por ello por eso estoy así, porque respeto la Mesa. Pues yo quiero estar acá en la mesa. Si no hay que ponerle más acolchonadito, porque si ustedes vieran solo esto está tapizado y acá. Burrita, eso no tienes por qué decir sigue.","Traca traca and that should no longer be done. I'm not telling you anything, because you are like this. Yes, that's why I'm like this, because I respect the Table. Well, I want to be here at the table. If not, you have to put more padding on it, because if you could see only this is upholstered and here. Burrita, you don't have to say that.",0.7575459480285645,0.2244664579629898,0.01798764057457447,0.4445589482784271,0.5326100587844849,0.022831019014120102
"Habiendo madera sin terminar, qué vergüenza. No si está terminada. Está tallada, está todo, nada más, no está forrada. Le falta la vestidura. Para qué quieres vestidular trabajos completos háganlos sino no hagan nada. Pues fue Pedro, fue Pedro.","Having unfinished wood, what a shame. Not if it's finished. It is carved, everything is there, nothing more, it is not lined. The clothing is missing. Why do you want to vest complete works, do them otherwise don't do anything. Well, it was Pedro, it was Pedro.",0.9079161882400513,0.0834888219833374,0.008595030754804611,0.8963589072227478,0.10020492970943451,0.003436063416302204
"Fue. Pedro, qué más, oigan, pero no. Yo creo que hablando de entrevistadoras la gente va a ver mi mi, cómo se dice mi fragmento entrevistadora en 2 domingos más, en 2 domingos más, porque.","Was. Pedro, what else, listen, but no. I think that talking about interviewers, people are going to see my my, how do you say my interviewer fragment in 2 more Sundays, in 2 more Sundays, because.",0.1299087554216385,0.8528847098350525,0.017206575721502304,0.16723133623600006,0.8007041811943054,0.032064490020275116
"Sí, me preparé para esa entrevista, sí, me preparé. A poco. Claro, tenía mis notas y todo, ni la. ¿Leíste la mentirosa? ¿Nada más llegaste preguntando en qué capítulo salió? No, no, no, no, no. Yo sí me preparé y la gente lo va a poder ver. Ahí lo veremos, ahí lo veremos.","Yes, I prepared for that interview, yes, I prepared. Little by little. Of course, I had my notes and everything, not even the. Did you read the liar? Did you just come asking what episode she was in? No no no no no. I did prepare and people will be able to see it. We'll see it there, we'll see it there.",0.035757292062044144,0.6201026439666748,0.34414005279541016,0.4507347345352173,0.5061109662055969,0.04315432906150818
