Original,gpt4,Original_NEU,Original_NEG,Original_POS,gpt4_NEU,gpt4_NEG,gpt4_POS
"¿Cómo estás, soy turbulent? Y yo la burrita burrona. Y estamos muy contentos que después del presupuesto para después de tal no, Claro que no. ¿Y usted a lo mejor va a decir Este por qué están solas? Pues yo no. Las temporadas, las temporadas son largas.","How are you, am I turbulent? And I the little stubborn donkey. And we are very happy that after the budget for after such no, of course not. And you might say why are they alone? Well, I don't. The seasons, the seasons are long.",0.6120375990867615,0.3754068911075592,0.012555543333292007,0.15001773834228516,0.6414874196052551,0.20849484205245972
"Son largas y aparte esta esta mención es. Para darle realce a nuestra gira, Claro, Claro, teníamos aquí a alguien sentado, no le íbamos a dar el. Lugar, pues no, porque no le íbamos a dar el lugar. En toda la persona, pero. Estamos también súper contentos porque a lo largo de este poquito tiempo que tenemos con el podcast del momento, pues han pasado cosas irreales.","The seasons are long and besides this mention is. To enhance our tour, of course, of course, we had someone sitting here, we wouldn't give him. Place, well no, because we wouldn't give him the place. In the whole person, but. We are also super happy because over this little time we have with the podcast of the moment, unreal things have happened.",0.3101646304130554,0.5116244554519653,0.17821092903614044,0.0017555671511217952,0.01926276460289955,0.9789816737174988
"Y han pasado personas muy importantes por estas. No y las que se vienen o sea usted a lo mejor ahorita dijo, Ah, pues nos están diciendo que se termina, se termina esta temporada este porque no le dimos como un cierre porque usted vio que se cambió la escenografía. Ajá. ¿Y usted no lo vio, pero no le no habíamos tenido el tiempo de dar como un cierre formal?","And very important people have passed through these. Not and those to come or you might have just said, Ah, well they are telling us that it ends, this season ends because we didn't give it like a closure because you saw that the scenery changed. Uh-huh. And you didn't see it, but we hadn't had the time to give it a formal closure?",0.8085458874702454,0.18522532284259796,0.006228806916624308,0.533023476600647,0.45993414521217346,0.007042354438453913
"Ciclo formal y a partir de aquí el podcast del momento viene con un giro. Viene con pura celebridad, celebridad internacional, no ha pasado ninguna de las que ya grabamos. No, no ha pasado el. Lunes este domingo esto ya es el domingo, no, hombre, no van a soportar si de por sí no nos pueden ver.","A formal cycle and from here the podcast of the moment comes with a twist. It comes with pure celebrity, international celebrity, none of the ones we've already recorded have happened. No, it hasn't happened. This Monday this Sunday this is already Sunday, no, man, they're not going to stand it if they can't see us.",0.5870001912117004,0.4021971821784973,0.010802692733705044,0.2996181845664978,0.6419582366943359,0.05842365324497223
"Pero hay que aclarar que obviamente seguiremos con nuestro marketing, que son muchas figuras regias, tenemos ya ya tenemos pactados a varios que ustedes van a disfrutar en un futuro y conocerán un poquito más de la cultura regiomontana. Y también nos gustaría que en este momento y en este video.","But we must clarify that obviously we will continue with our marketing, which involves many regal figures, we already have several agreements that you will enjoy in the future and will learn a little more about Regiomontano culture. And we would also like you to at this moment and in this video.",0.004094129893928766,0.10581550747156143,0.89009028673172,0.0014515736838802695,0.20329955220222473,0.7952488660812378
"Si se aceptan comentarios de artistas que quieran que tengamos en el podcast del momento. Y también comentarios que ustedes, o sea la verdad, ha pasado mucho de esto. Mira, a lo largo de todo esto hemos ido aprendiendo a ser entrevistadoras que hay que aclarar algo. La neta es que cuando surgió el podcast del momento, nosotras nunca quisimos que fuéramos entrevistadoras nos gusta.","If comments from artists who want us to have in the podcast of the moment are accepted. And also comments from you, I mean, a lot of this has happened. Look, throughout all this we have been learning to be interviewers we have to clarify something. The truth is that when the podcast of the moment arose, we never wanted us to be interviewers we like it.",0.05610920488834381,0.4821019768714905,0.4617888331413269,0.04314018785953522,0.9045301675796509,0.0523296594619751
"¿De hecho una de las reglas, cuando llega aquí nuestro invitado es, oye, Sabes qué? Aquí no hay línea. Y otra de las reglas es no pegarle a la mesa. ¿Verdad? Verdad, pareces nueva. Es que usted escucha un resorte en su interior, es porque esta niña está traca.","Indeed one of the rules, when our guest arrives here is, hey, you know what? There is no line here. And another rule is not to hit the table. Right? Right, you seem new. It's because you hear a spring inside you, it's because this girl is snap.",0.5452015995979309,0.4313732087612152,0.023425213992595673,0.007642864715307951,0.5601924657821655,0.43216463923454285
"Traca traca y eso ya no se debe de hacer. Yo no te digo nada, que tú estás así. Si por ello por eso estoy así, porque respeto la Mesa. Pues yo quiero estar acá en la mesa. Si no hay que ponerle más acolchonadito, porque si ustedes vieran solo esto está tapizado y acá. Burrita, eso no tienes por qué decir sigue.","Snap snap and that should no longer be done. I'm not telling you anything, that you're like that. If that's why I'm like this, because I respect the table. Well, I want to be here at the table. If we don't have to put more padding on it, because if you could see only this is upholstered and here. Little donkey, you don't have to say that.",0.7575459480285645,0.2244664579629898,0.01798764057457447,0.3530321419239044,0.6240348219871521,0.022933000698685646
"Habiendo madera sin terminar, qué vergüenza. No si está terminada. Está tallada, está todo, nada más, no está forrada. Le falta la vestidura. Para qué quieres vestidular trabajos completos háganlos sino no hagan nada. Pues fue Pedro, fue Pedro.","There is wood unfinished, what a shame. No if it's finished. It's carved, it's all, just not upholstered. You lack the upholstery. Why do you want to dress up complete jobs do them otherwise do not do anything. Well, it was Pedro, it was Pedro.",0.9079161882400513,0.0834888219833374,0.008595030754804611,0.966609537601471,0.030815115198493004,0.0025754112284630537
"Fue. Pedro, qué más, oigan, pero no. Yo creo que hablando de entrevistadoras la gente va a ver mi mi, cómo se dice mi fragmento entrevistadora en 2 domingos más, en 2 domingos más, porque.","It was. Pedro, what else, listen, but no. I think speaking of interviewers people are going to see my my, how do you say my interviewer fragment in 2 more Sundays, in 2 more Sundays, because.",0.1299087554216385,0.8528847098350525,0.017206575721502304,0.13969352841377258,0.8323811888694763,0.027925265952944756
